latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
29.94164,72.75433,333.25,0.39,0.36,2026-08-21,0820,N20,low,2.0NRT,304.25,4.59,D
30.13323,73.24683,336.12,0.39,0.36,2026-08-21,0820,N20,nominal,2.0NRT,301.75,1.56,D
29.56631,69.60405,335.7,0.43,0.38,2026-08-21,0820,N20,low,2.0NRT,306.19,17.44,D
30.07554,72.71671,332.01,0.39,0.36,2026-08-21,0820,N20,nominal,2.0NRT,301.99,2.45,D
30.63774,73.43209,342.69,0.39,0.37,2026-08-21,0820,N20,nominal,2.0NRT,300.27,3.84,D
30.69669,73.50935,332.73,0.4,0.37,2026-08-21,0820,N20,nominal,2.0NRT,300.47,1.79,D
30.70003,73.50871,345.22,0.4,0.37,2026-08-21,0820,N20,nominal,2.0NRT,302.37,6.08,D
30.4856,71.85634,346.53,0.38,0.36,2026-08-21,0820,N20,nominal,2.0NRT,302.58,12.52,D
30.64097,72.79604,334.96,0.39,0.36,2026-08-21,0820,N20,nominal,2.0NRT,299.88,2.89,D
31.04245,72.29745,338.8,0.38,0.36,2026-08-21,0822,N20,nominal,2.0NRT,302.12,9.06,D
31.39865,72.49902,344.6,0.39,0.36,2026-08-21,0822,N20,nominal,2.0NRT,300.81,4.52,D
32.88853,71.6191,333.5,0.38,0.36,2026-08-21,0822,N20,low,2.0NRT,304.57,2.82,D
33.29505,71.18509,331.83,0.38,0.36,2026-08-21,0822,N20,low,2.0NRT,306.01,2.45,D
33.55928,70.22367,341.31,0.39,0.36,2026-08-21,0822,N20,low,2.0NRT,312.18,4.92,D
34.09185,72.00816,333.88,0.39,0.36,2026-08-21,0822,N20,nominal,2.0NRT,298.19,1.45,D
34.09492,72.00819,335.11,0.39,0.36,2026-08-21,0822,N20,nominal,2.0NRT,298,2.2,D
33.8616,64.20713,342.61,0.44,0.46,2026-08-21,0822,N20,nominal,2.0NRT,310.32,6.34,D
34.59846,60.71849,341.18,0.33,0.55,2026-08-21,0822,N20,nominal,2.0NRT,309.82,1.93,D
37.11906,62.36192,345.08,0.46,0.47,2026-08-21,0824,N20,low,2.0NRT,317.37,14.18,D
38.56242,68.9688,341.5,0.39,0.36,2026-08-21,0824,N20,low,2.0NRT,315.1,4.37,D
36.49801,58.82312,344.07,0.37,0.58,2026-08-21,0824,N20,nominal,2.0NRT,306.12,4.88,D
37.13355,61.29985,330.84,0.53,0.5,2026-08-21,0824,N20,low,2.0NRT,302.48,4.07,D
37.15227,61.31778,340.94,0.52,0.5,2026-08-21,0824,N20,nominal,2.0NRT,300.52,8.69,D
37.15537,61.31047,335.83,0.52,0.5,2026-08-21,0824,N20,nominal,2.0NRT,303.43,8.69,D
37.28469,61.11848,335.28,0.53,0.5,2026-08-21,0824,N20,nominal,2.0NRT,306.35,1.9,D
37.3371,60.10872,334.61,0.6,0.53,2026-08-21,0824,N20,nominal,2.0NRT,302.9,6.51,D
37.34339,60.11341,347.92,0.6,0.53,2026-08-21,0824,N20,nominal,2.0NRT,303.21,6.51,D
37.75576,61.57056,335.52,0.49,0.49,2026-08-21,0824,N20,low,2.0NRT,308.45,2.27,D
37.45515,59.83886,345.38,0.62,0.54,2026-08-21,0824,N20,nominal,2.0NRT,304.57,12.95,D
37.45244,59.83915,343.4,0.62,0.54,2026-08-21,0824,N20,nominal,2.0NRT,303.76,5.06,D
37.45077,59.83247,330.08,0.62,0.54,2026-08-21,0824,N20,low,2.0NRT,304.48,5.06,D
37.45718,59.83731,342.42,0.62,0.54,2026-08-21,0824,N20,nominal,2.0NRT,302.96,5.06,D
37.79808,60.60656,349.14,0.55,0.51,2026-08-21,0824,N20,nominal,2.0NRT,313.76,15.57,D
37.81496,60.57381,367,0.55,0.51,2026-08-21,0824,N20,high,2.0NRT,313.28,95.39,D
22.44274,56.70044,351.32,0.56,0.51,2026-08-21,1000,N20,nominal,2.0NRT,314.45,39.9,D
22.67016,56.25245,341.53,0.52,0.5,2026-08-21,1000,N20,low,2.0NRT,314.43,1.11,D
22.87592,55.92825,346.55,0.5,0.49,2026-08-21,1000,N20,nominal,2.0NRT,314.85,1.77,D
22.88043,55.9277,348.06,0.5,0.49,2026-08-21,1000,N20,nominal,2.0NRT,315.95,5.62,D
22.87775,55.92975,348.17,0.5,0.49,2026-08-21,1000,N20,nominal,2.0NRT,316.45,7.17,D
22.92366,55.80581,350.15,0.49,0.49,2026-08-21,1000,N20,nominal,2.0NRT,318.62,3.5,D
23.27567,54.26293,346.76,0.4,0.44,2026-08-21,1000,N20,low,2.0NRT,316.85,14.28,D
23.27521,54.25901,352.24,0.4,0.44,2026-08-21,1000,N20,nominal,2.0NRT,319.8,17.1,D
24.50422,56.60922,344.3,0.58,0.52,2026-08-21,1000,N20,nominal,2.0NRT,304.94,6.29,D
24.50795,54.02145,339.86,0.4,0.44,2026-08-21,1000,N20,nominal,2.0NRT,303.22,5.18,D
24.60639,54.15107,334.79,0.41,0.45,2026-08-21,1000,N20,nominal,2.0NRT,303.48,2.52,D
27.16793,56.10064,335.52,0.58,0.52,2026-08-21,1002,N20,nominal,2.0NRT,304.65,5.86,D
27.1687,56.05901,338.74,0.58,0.52,2026-08-21,1002,N20,nominal,2.0NRT,304.13,15.19,D
27.16812,56.05312,337.03,0.58,0.52,2026-08-21,1002,N20,nominal,2.0NRT,304.63,13.1,D
27.16799,56.05671,347.78,0.58,0.52,2026-08-21,1002,N20,nominal,2.0NRT,304.52,12.1,D
29.98965,55.85698,343.57,0.61,0.53,2026-08-21,1002,N20,nominal,2.0NRT,307.82,14.16,D
36.59726,59.49143,331.18,0.57,0.69,2026-08-21,1004,N20,nominal,2.0NRT,301.16,2.93,D
37.10904,60.50369,331.91,0.65,0.73,2026-08-21,1004,N20,nominal,2.0NRT,298.35,5.15,D
37.11297,60.39966,331.06,0.64,0.72,2026-08-21,1004,N20,nominal,2.0NRT,297.3,2.81,D
37.1112,60.50219,339.3,0.65,0.73,2026-08-21,1004,N20,nominal,2.0NRT,298.99,6.48,D
37.10896,60.39829,332.01,0.64,0.72,2026-08-21,1004,N20,nominal,2.0NRT,297.14,4.48,D
37.40675,60.25187,351.3,0.63,0.72,2026-08-21,1004,N20,nominal,2.0NRT,299.11,10.18,D
37.40376,60.25635,338.59,0.63,0.72,2026-08-21,1004,N20,nominal,2.0NRT,298.03,7.78,D
37.4036,60.24908,335.42,0.63,0.72,2026-08-21,1004,N20,nominal,2.0NRT,298.55,6.29,D
38.6477,54.28093,336.71,0.61,0.53,2026-08-21,1004,N20,nominal,2.0NRT,296.21,5.88,D
18.32207,55.10753,347.05,0.39,0.44,2026-08-21,0958,N20,low,2.0NRT,320.54,3.96,D
19.26742,56.17466,345.63,0.47,0.48,2026-08-21,0958,N20,nominal,2.0NRT,309.7,3.16,D
19.26819,56.17547,348.32,0.47,0.48,2026-08-21,0958,N20,nominal,2.0NRT,309.34,3.1,D
19.33389,56.47287,337.79,0.49,0.49,2026-08-21,0958,N20,low,2.0NRT,309.17,1.17,D
